slNo.,pclass,sex,age,sibsp,parch,survived
828,3,1,29.519847189349115,0,0,0
829,1,1,4.0,0,2,1
830,1,0,54.0,1,0,1
831,1,1,64.0,0,0,0
832,1,1,54.0,0,1,0
833,2,1,61.0,0,0,0
834,1,0,76.0,1,0,1
835,2,1,23.0,0,0,0
836,1,0,29.519847189349115,0,0,1
837,1,0,23.0,0,1,1
838,2,0,36.0,0,0,1
839,1,1,46.0,1,0,0
840,3,1,7.0,1,1,1
841,1,0,37.0,1,0,1
842,3,0,16.0,0,0,1
843,3,1,18.0,1,0,0
844,1,1,38.0,1,0,1
845,1,1,55.0,0,0,0
846,1,1,58.0,0,0,0
847,2,0,24.0,1,0,1
848,3,0,3.0,1,1,0
849,2,1,52.0,0,0,0
